seed;p;dMax;availables;plain;jump;gain;contour;plateau;qEst;qHat;sHat;pHit;fromzero;fzSAG;fzPur;randomly;rdSAG;rdPur;cleverly;clSAG;clPur;greedyIG;grSAG;grPur;bForceIG;bfSAG;bfPur
5070;5;   7;     16807;plain;  11;   0;      5;      5;   0;   0;7776;46.3;    7776;    0; pure;    4120;    0;  imp;    7776;    0; pure;    6480;    1; pure;       ?;    ?;    ?
5071;3;   4;        24; skew;   3;   1;      1;      1;   1;   0;  11;45.8;      11;    0;  imp;      11;    0;  imp;      11;    0; pure;      11;    1;  imp;      11;    0;  imp
5072;3;   9;       352; skew;   5;   2;      1;      1;   0;   0; 250;71.0;     200;    0;  imp;     198;    0;  imp;     250;    0; pure;     250;    0; pure;       ?;    ?;    ?
5073;6;   6;      1946; skew;   2;   4;      3;      3;   1;   1; 703;36.1;     745;    1;  imp;     616;    1;  imp;     787;    1;  imp;     816;    1;  imp;       ?;    ?;    ?
5075;5;   7;     14400; skew;   5;   0;      4;      4;   0;   0;6302;43.8;    6302;    0; pure;    3339;    0;  imp;    6302;    0; pure;    5694;    1; pure;       ?;    ?;    ?
5077;2;   5;        14; skew;   2;   1;      1;      2;   0;   0;  10;71.4;       8;    0;  imp;       6;    1;  imp;      10;    0; pure;      10;    0; pure;      10;    0; pure
5078;4;   9;      6561;plain;  11;   0;      4;      4;   0;   0;4096;62.4;    4096;    0; pure;    2543;    0;  imp;    4096;    0; pure;    2048;    1; pure;       ?;    ?;    ?
5081;5;   5;      2304; skew;   3;   1;      4;      4;   1;   1; 948;41.1;     702;    0;  imp;     557;    1;  imp;     948;    1; pure;     945;    1;  imp;       ?;    ?;    ?
5082;6;   9;       370; skew;   3;   8;      1;      2;   0;   0; 181;48.9;     242;    0;  imp;     246;    0;  imp;     261;    0;  imp;     266;    0;  imp;       ?;    ?;    ?
5083;4;   4;       228; skew;   3;   0;      4;      2;   1;   1;  90;39.5;      66;    1;  imp;      66;    1;  imp;      90;    1; pure;      90;    1; pure;       ?;    ?;    ?
5084;3;   8;       512;plain;  11;   0;      3;      3;   0;   0; 343;67.0;     147;    1; pure;     126;    1;  imp;     343;    0; pure;     343;    0; pure;       ?;    ?;    ?
5088;5;   6;      1080; skew;   4;   5;      3;      4;   1;   0; 456;42.2;     479;    0;  imp;     445;    0;  imp;     576;    0;  imp;     463;    0;  imp;       ?;    ?;    ?
